clean,corrupted,answer,correct_idx,incorrect_idx,paraphrase1,paraphrase2,paraphrase3,paraphrase4,paraphrase5,paraphrase6,paraphrase7,paraphrase8,paraphrase9
47+7+146+80=,272+158+76+187=,280,11209,25298,80+146+7+47=,146+7+80+47=,146+47+80+7=,47+7+80+146=,7+80+47+146=,146+47+7+80=,80+47+146+7=,146+7+47+80=,7+80+146+47=
56+214+48+41=,12+52+1+121=,359,19192,9714,48+41+56+214=,41+48+214+56=,56+48+214+41=,56+214+41+48=,48+214+41+56=,214+41+48+56=,214+41+56+48=,41+214+48+56=,56+48+41+214=
117+103+86+15=,37+28+219+135=,321,14423,19391,86+103+15+117=,117+103+15+86=,15+86+103+117=,86+15+117+103=,15+117+103+86=,103+15+86+117=,103+117+86+15=,117+15+103+86=,86+117+103+15=
191+17+101+10=,67+87+150+147=,319,16874,20360,17+191+10+101=,191+101+17+10=,10+17+101+191=,10+101+191+17=,101+10+191+17=,101+191+10+17=,191+10+101+17=,101+10+17+191=,10+191+17+101=
6+143+6+115=,118+29+343+229=,270,10914,24758,143+6+6+115=,143+115+6+6=,143+6+115+6=,143+6+6+115=,6+115+6+143=,6+115+143+6=,115+143+6+6=,115+6+6+143=,6+143+115+6=
33+207+555+23=,6+143+6+115=,818,23141,10914,555+207+33+23=,33+23+207+555=,33+23+555+207=,207+33+555+23=,23+33+555+207=,23+207+555+33=,207+23+555+33=,23+555+33+207=,555+207+23+33=
70+13+239+34=,64+86+86+163=,356,18349,18572,13+70+239+34=,70+239+13+34=,239+34+70+13=,70+34+239+13=,34+239+70+13=,70+13+34+239=,13+239+34+70=,239+13+34+70=,13+34+70+239=
454+19+15+412=,172+268+150+128=,900,7467,21982,15+454+412+19=,412+15+454+19=,19+454+412+15=,19+454+15+412=,19+15+412+454=,15+412+454+19=,454+412+15+19=,15+412+19+454=,412+15+19+454=
75+16+39+301=,230+236+356+146=,431,19852,23386,39+301+75+16=,301+39+16+75=,39+16+301+75=,75+39+16+301=,16+301+75+39=,301+39+75+16=,39+75+16+301=,301+75+16+39=,75+301+39+16=
505+152+15+70=,117+103+86+15=,742,25560,14423,15+70+152+505=,70+152+15+505=,70+15+505+152=,15+505+70+152=,152+505+70+15=,70+505+15+152=,152+70+15+505=,505+70+15+152=,505+15+70+152=
64+86+86+163=,23+106+152+33=,399,18572,16104,64+163+86+86=,163+64+86+86=,86+86+64+163=,163+86+86+64=,86+64+163+86=,163+64+86+86=,163+86+64+86=,64+86+86+163=,86+64+86+163=
84+22+183+707=,174+64+17+91=,996,23031,18061,183+22+707+84=,183+707+84+22=,22+183+707+84=,183+84+22+707=,22+183+84+707=,84+707+183+22=,183+22+84+707=,22+84+707+183=,707+22+84+183=
46+70+57+95=,10+114+202+385=,268,16332,22375,57+46+95+70=,46+95+57+70=,46+95+70+57=,46+70+95+57=,95+46+57+70=,70+95+46+57=,70+46+95+57=,70+95+57+46=,70+57+46+95=
41+64+32+1=,25+322+12+566=,138,10350,21910,41+32+64+1=,32+1+64+41=,64+32+41+1=,64+32+1+41=,1+41+32+64=,64+1+41+32=,64+1+32+41=,1+32+41+64=,41+1+64+32=
74+90+88+252=,92+283+60+159=,504,18048,23428,74+252+90+88=,90+88+74+252=,90+88+252+74=,88+90+252+74=,90+252+74+88=,252+88+74+90=,252+90+88+74=,74+90+252+88=,90+74+88+252=
155+32+55+10=,6+143+6+115=,252,12326,10914,32+55+10+155=,10+55+32+155=,32+10+155+55=,10+155+55+32=,10+55+155+32=,55+10+155+32=,155+55+10+32=,55+32+10+155=,55+32+155+10=
125+22+107+56=,52+66+6+499=,310,12226,22801,22+107+125+56=,22+107+56+125=,22+56+125+107=,107+56+22+125=,125+22+56+107=,125+56+107+22=,22+125+107+56=,107+22+125+56=,125+107+56+22=
1+4+37+130=,16+65+2+135=,172,10861,13302,130+1+4+37=,130+4+37+1=,4+1+130+37=,37+4+130+1=,37+4+1+130=,130+37+1+4=,4+1+37+130=,1+130+37+4=,4+130+1+37=
89+79+142+6=,197+186+163+308=,316,15340,25515,79+89+142+6=,79+142+6+89=,89+6+79+142=,79+6+89+142=,142+79+6+89=,142+89+6+79=,79+89+6+142=,6+142+89+79=,6+89+79+142=
23+66+292+123=,7+55+7+31=,504,18048,1041,292+66+123+23=,123+292+66+23=,66+23+292+123=,66+123+292+23=,123+292+23+66=,123+66+23+292=,66+123+23+292=,292+123+66+23=,23+123+292+66=
14+67+12+16=,190+179+1+322=,109,7743,25073,67+16+12+14=,14+16+12+67=,16+67+12+14=,14+12+16+67=,12+14+67+16=,12+16+14+67=,16+67+14+12=,14+12+67+16=,67+14+16+12=
581+154+16+58=,4+64+330+129=,809,21474,22369,58+581+16+154=,154+16+581+58=,154+58+581+16=,58+154+16+581=,581+154+58+16=,16+581+154+58=,581+58+16+154=,58+581+154+16=,581+16+58+154=
41+199+26+306=,28+191+461+125=,572,22468,21032,41+306+199+26=,306+41+26+199=,199+26+306+41=,199+41+306+26=,306+41+199+26=,41+26+306+199=,306+199+41+26=,306+199+26+41=,26+306+41+199=
5+120+68+434=,190+329+116+38=,627,23103,24938,434+120+5+68=,68+434+120+5=,5+68+120+434=,68+5+120+434=,68+5+434+120=,5+68+434+120=,120+434+68+5=,5+434+68+120=,120+5+68+434=
176+22+279+245=,172+268+150+128=,722,23024,21982,279+245+22+176=,279+245+176+22=,245+176+279+22=,22+245+279+176=,279+176+245+22=,22+245+176+279=,22+279+176+245=,245+176+22+279=,176+279+22+245=
129+1+397+61=,190+179+1+322=,588,20691,25073,61+397+129+1=,397+1+61+129=,61+397+1+129=,397+1+129+61=,61+129+1+397=,397+61+129+1=,1+397+61+129=,61+1+397+129=,397+129+61+1=
165+51+219+207=,243+293+31+124=,642,22266,25168,51+219+207+165=,219+207+165+51=,219+51+165+207=,165+207+219+51=,165+219+207+51=,51+219+165+207=,51+165+207+219=,207+165+219+51=,219+165+51+207=
84+104+57+97=,299+122+152+218=,342,17590,26234,104+84+97+57=,57+97+84+104=,104+97+84+57=,97+104+57+84=,97+104+84+57=,104+84+57+97=,84+57+97+104=,97+84+57+104=,57+97+104+84=
60+74+116+49=,33+271+86+76=,299,15531,21404,116+49+74+60=,49+116+60+74=,60+116+74+49=,60+74+49+116=,60+116+49+74=,116+60+49+74=,49+74+60+116=,60+49+116+74=,49+116+74+60=
28+191+461+125=,86+23+65+54=,805,21032,14261,28+125+191+461=,125+28+461+191=,28+461+191+125=,125+191+461+28=,191+28+125+461=,28+191+125+461=,191+461+28+125=,461+28+125+191=,461+28+191+125=
33+108+29+244=,413+86+45+313=,414,17448,20907,33+244+108+29=,244+29+33+108=,244+33+29+108=,108+29+33+244=,244+29+108+33=,108+33+29+244=,29+244+108+33=,244+108+33+29=,244+108+29+33=
426+140+395+13=,581+154+16+58=,974,26007,21474,395+426+140+13=,395+140+426+13=,13+395+426+140=,395+13+140+426=,140+395+13+426=,140+395+426+13=,426+395+140+13=,13+395+140+426=,140+13+426+395=
23+53+11+42=,41+199+26+306=,129,9748,22468,53+23+42+11=,53+23+11+42=,42+53+23+11=,11+23+53+42=,11+53+23+42=,23+11+53+42=,11+23+42+53=,42+11+53+23=,53+11+42+23=
195+83+10+12=,23+106+152+33=,300,3101,16104,195+12+83+10=,10+12+83+195=,83+12+10+195=,12+10+195+83=,195+10+12+83=,10+195+83+12=,10+12+195+83=,10+83+12+195=,83+10+12+195=
67+12+149+199=,248+23+120+227=,427,20465,21985,199+149+12+67=,199+12+67+149=,199+12+149+67=,67+199+149+12=,149+12+199+67=,67+149+199+12=,67+199+12+149=,149+199+67+12=,12+199+67+149=
41+53+22+74=,18+392+98+144=,190,7028,23181,22+53+41+74=,74+53+22+41=,22+74+53+41=,22+41+74+53=,41+74+53+22=,41+22+53+74=,53+74+41+22=,22+74+41+53=,74+22+41+53=
77+8+114+32=,5+120+68+434=,231,12245,23103,114+8+32+77=,32+8+77+114=,8+32+114+77=,32+114+8+77=,77+32+114+8=,77+32+8+114=,8+77+32+114=,114+8+77+32=,77+114+32+8=
23+9+4+69=,272+158+76+187=,105,6550,25298,4+9+69+23=,4+69+9+23=,23+9+69+4=,69+23+4+9=,23+4+9+69=,9+69+23+4=,4+9+23+69=,69+4+9+23=,23+69+9+4=
55+54+92+89=,108+190+277+348=,290,13754,22614,54+89+55+92=,89+55+92+54=,54+92+55+89=,55+54+89+92=,92+89+54+55=,92+55+89+54=,92+54+55+89=,92+54+89+55=,89+92+54+55=
114+143+117+296+13=,57+167+86+26+77=,683,24887,19288,114+13+296+117+143=,117+143+13+296+114=,296+114+117+13+143=,114+143+296+117+13=,143+114+13+117+296=,143+114+296+117+13=,296+117+13+143+114=,117+143+296+114+13=,114+296+13+117+143=
33+159+207+240+222=,59+68+28+38+289=,861,24963,21984,33+159+207+222+240=,222+207+240+33+159=,207+222+33+240+159=,222+207+33+240+159=,207+240+222+33+159=,240+159+207+222+33=,159+222+207+33+240=,33+240+222+207+159=,159+207+33+240+222=
246+472+136+67+12=,111+46+56+45+256=,933,25806,20998,472+12+246+67+136=,136+67+472+246+12=,472+136+12+246+67=,12+472+246+67+136=,136+246+472+12+67=,67+472+246+136+12=,136+67+12+246+472=,67+12+246+136+472=,472+246+67+136+12=
138+138+45+270+14=,16+628+26+31+165=,605,19666,22455,270+138+14+138+45=,14+138+138+45+270=,138+45+138+14+270=,14+138+270+138+45=,138+270+138+45+14=,138+270+45+138+14=,45+270+14+138+138=,45+138+14+138+270=,270+45+138+138+14=
4+26+55+84+72=,378+166+270+78+55=,241,13341,26511,26+84+4+55+72=,72+84+55+26+4=,26+72+55+4+84=,72+26+4+84+55=,72+26+84+55+4=,55+4+72+84+26=,55+72+4+84+26=,72+84+26+55+4=,84+4+55+72+26=
78+689+20+94+3=,353+128+67+49+49=,884,25962,22642,20+689+3+94+78=,689+3+78+20+94=,78+689+20+3+94=,78+94+689+20+3=,94+689+20+3+78=,689+94+3+20+78=,94+78+689+20+3=,689+94+20+78+3=,94+20+78+689+3=
16+628+26+31+165=,138+138+45+270+14=,866,22455,19666,16+26+165+31+628=,26+628+165+31+16=,26+31+16+628+165=,16+628+31+165+26=,26+165+628+31+16=,165+31+16+628+26=,31+26+165+16+628=,26+16+31+628+165=,16+165+26+628+31=
201+10+75+678+31=,32+101+76+123+270=,995,22101,20224,75+31+10+678+201=,10+201+75+678+31=,201+75+10+31+678=,31+75+201+10+678=,10+75+201+678+31=,678+75+10+31+201=,678+10+31+201+75=,31+75+678+201+10=,31+678+201+10+75=
8+34+56+62+47=,124+155+2+10+248=,207,12060,23033,34+8+47+56+62=,62+8+47+56+34=,56+8+34+47+62=,62+47+34+56+8=,62+34+8+56+47=,62+8+56+34+47=,47+62+8+56+34=,47+62+34+56+8=,8+62+56+34+47=
32+101+76+123+270=,111+46+56+45+256=,602,20224,20998,123+76+101+32+270=,101+32+76+123+270=,270+76+101+123+32=,101+76+123+32+270=,32+123+270+101+76=,76+32+270+101+123=,32+101+123+270+76=,32+123+101+76+270=,101+76+270+123+32=
41+260+303+48+87=,11+52+23+18+6=,739,25809,5120,87+41+48+303+260=,48+260+303+41+87=,41+260+48+303+87=,41+87+48+260+303=,303+87+48+41+260=,87+41+303+260+48=,260+303+41+48+87=,41+48+303+87+260=,87+260+41+48+303=
33+9+248+443+31=,11+204+10+218+225=,764,24402,24427,443+33+248+9+31=,9+443+248+33+31=,33+248+443+31+9=,9+33+248+443+31=,33+443+9+248+31=,248+31+9+443+33=,9+443+33+248+31=,31+33+443+248+9=,443+248+33+9+31=
234+108+66+60+145=,25+437+129+45+247=,613,22922,24902,108+145+66+234+60=,108+66+234+60+145=,234+66+145+108+60=,234+145+108+60+66=,60+108+145+234+66=,60+108+234+145+66=,60+145+234+66+108=,108+60+234+66+145=,145+234+60+108+66=
21+261+301+75+27=,74+206+14+50+210=,685,23717,22303,261+27+75+301+21=,301+261+27+21+75=,27+21+261+75+301=,21+75+261+301+27=,75+27+301+21+261=,301+21+27+75+261=,301+27+75+21+261=,21+75+301+27+261=,21+301+75+27+261=
13+31+6+118+361=,16+101+48+219+135=,529,21618,21851,6+361+118+13+31=,6+31+118+361+13=,118+13+31+361+6=,118+6+13+361+31=,13+31+6+361+118=,118+31+6+13+361=,361+31+13+6+118=,118+6+361+31+13=,31+118+361+6+13=
378+166+270+78+55=,8+34+56+62+47=,947,26511,12060,270+378+55+78+166=,166+78+270+55+378=,78+55+270+166+378=,166+378+78+270+55=,270+378+78+166+55=,78+166+270+55+378=,270+78+166+378+55=,166+270+55+78+378=,270+166+55+78+378=
3+30+67+151+25=,236+28+499+92+140=,276,16660,22101,25+67+3+30+151=,151+3+67+30+25=,25+3+67+151+30=,151+67+25+3+30=,30+3+151+25+67=,3+25+67+151+30=,151+67+3+25+30=,151+3+67+25+30=,30+67+3+25+151=
257+71+138+38+117=,16+101+48+219+135=,621,22488,21851,257+117+38+71+138=,117+257+71+138+38=,38+138+117+257+71=,71+117+257+38+138=,257+38+71+138+117=,138+38+257+71+117=,138+117+71+38+257=,117+257+38+138+71=,138+38+71+257+117=
333+108+17+130+109=,77+131+22+161+56=,697,25388,20800,109+108+333+130+17=,17+109+130+333+108=,333+17+109+108+130=,17+108+130+109+333=,333+130+108+109+17=,130+109+333+17+108=,130+333+108+17+109=,109+333+17+108+130=,130+17+109+333+108=
49+186+54+16+93=,43+70+30+31+309=,398,19838,21884,49+16+93+54+186=,54+16+186+93+49=,49+16+186+93+54=,16+54+93+49+186=,16+93+186+54+49=,186+49+93+16+54=,54+93+49+186+16=,16+186+49+54+93=,16+49+186+93+54=
41+10+21+137+12=,15+36+214+51+120=,221,12425,21299,21+41+137+12+10=,10+41+21+137+12=,10+12+41+137+21=,10+137+12+41+21=,10+41+12+137+21=,12+41+137+21+10=,21+12+41+10+137=,41+21+137+12+10=,12+41+10+137+21=
171+111+249+257+77=,201+246+108+51+53=,865,24678,25090,249+111+257+77+171=,77+249+257+111+171=,171+111+257+77+249=,111+257+77+171+249=,111+249+171+257+77=,257+111+249+171+77=,257+249+171+111+77=,171+111+257+249+77=,111+171+249+257+77=
58+26+282+252+17=,47+35+205+6+19=,635,22276,13384,17+282+252+26+58=,252+17+26+282+58=,26+252+17+282+58=,26+17+58+252+282=,17+282+26+252+58=,282+26+17+58+252=,282+58+17+26+252=,58+17+282+252+26=,282+58+17+252+26=
20+68+183+20+338=,234+108+66+60+145=,629,24239,22922,338+20+20+183+68=,20+183+68+338+20=,20+68+20+338+183=,20+68+183+20+338=,338+68+20+183+20=,20+20+183+68+338=,68+20+338+183+20=,20+338+183+68+20=,68+20+20+338+183=
197+66+376+60+9=,312+83+66+25+16=,708,21295,17824,9+66+376+197+60=,60+66+197+9+376=,197+376+66+9+60=,66+197+9+60+376=,197+66+60+376+9=,9+376+60+66+197=,376+66+9+60+197=,66+197+376+60+9=,376+197+60+66+9=
43+16+223+90+238=,75+196+387+127+147=,610,17608,25401,223+238+16+90+43=,223+90+16+238+43=,16+238+43+90+223=,90+16+223+43+238=,223+90+238+43+16=,238+90+223+43+16=,238+16+90+43+223=,223+16+238+43+90=,16+238+90+223+43=
119+74+159+66+138=,84+198+20+40+55=,556,20866,20698,159+66+119+138+74=,159+119+138+66+74=,138+159+119+74+66=,66+119+138+159+74=,138+66+74+119+159=,74+119+159+66+138=,138+119+74+66+159=,159+66+74+119+138=,159+66+74+138+119=
201+246+108+51+53=,285+20+106+216+4=,659,25090,21729,53+246+108+201+51=,53+246+201+108+51=,51+108+201+246+53=,201+108+51+53+246=,201+51+246+53+108=,108+51+53+201+246=,53+51+201+108+246=,53+201+246+108+51=,108+201+246+51+53=
89+213+329+125+33=,17+64+230+48+25=,789,16474,12910,213+125+329+89+33=,125+89+33+329+213=,125+33+213+89+329=,213+329+33+89+125=,125+89+329+213+33=,125+329+89+33+213=,329+125+213+89+33=,125+213+33+329+89=,213+33+329+89+125=
235+128+202+199+49=,27+342+254+122+252=,813,24288,22694,128+202+235+199+49=,49+235+128+202+199=,49+199+235+202+128=,49+235+202+128+199=,128+199+49+202+235=,235+202+128+49+199=,49+128+235+199+202=,202+128+49+199+235=,235+49+128+199+202=
320+42+151+106+41=,378+166+270+78+55=,660,19274,26511,42+106+151+41+320=,151+41+106+42+320=,151+42+41+106+320=,320+42+41+106+151=,41+42+320+151+106=,42+41+151+106+320=,106+41+151+320+42=,42+41+106+320+151=,151+41+42+106+320=
16+97+46+3+13=,3+30+67+151+25=,175,10005,16660,3+46+13+97+16=,13+46+3+97+16=,46+97+3+16+13=,3+97+16+13+46=,46+3+97+13+16=,3+97+46+16+13=,46+3+13+16+97=,46+97+3+13+16=,3+16+46+97+13=
98+63+50+393+93=,15+36+214+51+120=,697,25388,21299,93+63+393+98+50=,393+63+98+93+50=,98+93+63+393+50=,98+50+93+393+63=,98+63+393+50+93=,98+50+63+393+93=,63+98+93+393+50=,63+93+393+98+50=,50+63+98+93+393=
77+131+22+161+56=,21+261+301+75+27=,447,20800,23717,77+22+131+161+56=,77+56+161+22+131=,161+56+131+77+22=,22+56+161+77+131=,22+56+77+161+131=,56+22+161+131+77=,77+56+161+131+22=,56+22+161+77+131=,56+77+131+22+161=
3+65+184+99+56=,257+160+37+234+225=,407,18501,24331,184+3+65+99+56=,3+56+99+65+184=,184+65+99+3+56=,56+3+99+184+65=,65+184+99+56+3=,99+184+65+3+56=,3+99+65+184+56=,56+99+184+3+65=,184+99+65+56+3=
278+62+2+37+16=,33+9+248+443+31=,395,19498,24402,2+62+16+37+278=,2+37+278+62+16=,278+2+16+62+37=,37+278+62+16+2=,16+2+37+278+62=,278+62+16+37+2=,37+62+278+2+16=,37+2+278+16+62=,37+2+62+278+16=
285+20+106+216+4=,105+48+150+3+47=,631,21729,17228,20+4+106+285+216=,106+285+216+4+20=,106+4+20+216+285=,20+106+4+285+216=,216+106+4+285+20=,4+285+20+106+216=,4+216+285+106+20=,20+106+216+4+285=,4+20+285+216+106=
353+128+67+49+49=,257+160+37+234+225=,646,22642,24331,128+67+49+49+353=,353+67+49+49+128=,353+128+49+67+49=,67+49+353+128+49=,67+49+49+353+128=,67+49+49+353+128=,128+49+49+353+67=,353+67+128+49+49=,353+49+67+49+128=
84+31+8+204+87=,201+246+108+51+53=,414,17448,25090,204+8+31+87+84=,204+84+31+87+8=,8+31+204+87+84=,204+8+87+31+84=,87+204+84+8+31=,204+84+31+8+87=,87+8+31+204+84=,8+31+87+204+84=,8+204+87+84+31=
25+437+129+45+247=,199+263+128+16+51=,883,24902,23480,45+437+25+129+247=,25+437+45+247+129=,247+129+45+437+25=,247+25+45+437+129=,25+247+437+129+45=,45+129+25+247+437=,129+437+25+45+247=,247+437+129+45+25=,25+437+129+247+45=
166+24+3+55+61=,33+159+207+240+222=,309,15500,24963,55+166+3+24+61=,3+55+24+61+166=,55+24+3+61+166=,166+3+24+61+55=,3+24+166+55+61=,3+55+61+24+166=,3+55+61+166+24=,61+24+166+55+3=,61+24+3+55+166=
63+6+2+12+26=,320+42+151+106+41=,109,7743,19274,6+12+26+2+63=,26+12+6+63+2=,12+26+63+2+6=,63+2+26+6+12=,26+12+2+63+6=,63+2+6+12+26=,6+12+2+26+63=,12+6+26+63+2=,12+26+63+6+2=
7+109+166+88+552=,278+62+2+37+16=,922,20275,19498,7+552+88+166+109=,552+109+88+7+166=,552+88+166+7+109=,7+88+552+109+166=,88+552+109+166+7=,7+166+552+88+109=,88+552+109+7+166=,552+88+7+166+109=,109+7+88+166+552=
111+46+56+45+256=,312+83+66+25+16=,514,20998,17824,46+111+45+256+56=,56+111+45+46+256=,256+56+46+111+45=,46+45+111+256+56=,56+45+111+46+256=,45+256+56+111+46=,111+46+256+56+45=,45+46+256+111+56=,46+56+256+111+45=
10+158+35+62+62=,257+160+37+234+225=,327,13817,24331,62+62+10+158+35=,158+35+62+10+62=,158+10+35+62+62=,62+10+35+158+62=,158+35+62+62+10=,158+10+62+35+62=,35+10+62+62+158=,62+62+10+35+158=,62+10+62+158+35=
307+21+1+361+46=,33+9+248+443+31=,736,23969,24402,21+46+1+307+361=,361+21+1+307+46=,1+21+361+46+307=,361+1+21+307+46=,1+307+46+21+361=,1+21+46+307+361=,21+46+1+361+307=,361+1+307+21+46=,46+21+1+361+307=
204+68+62+221+241=,124+155+2+10+248=,796,24832,23033,62+241+204+221+68=,204+62+241+221+68=,68+62+221+204+241=,62+204+241+221+68=,68+221+204+62+241=,221+204+241+68+62=,68+204+62+241+221=,204+221+241+62+68=,204+221+68+241+62=
49+7+190+26+282=,163+26+344+177+137=,554,22303,25125,26+190+282+49+7=,26+49+7+282+190=,7+190+26+282+49=,190+26+7+49+282=,49+26+7+190+282=,26+7+190+49+282=,282+26+7+190+49=,282+190+7+26+49=,282+7+190+26+49=
17+64+230+48+25=,489+137+5+142+160=,384,12910,25806,25+230+17+48+64=,25+230+17+64+48=,17+230+64+48+25=,64+230+48+25+17=,48+230+17+25+64=,48+25+230+64+17=,64+48+17+25+230=,230+48+25+17+64=,64+17+25+48+230=
75+196+387+127+147=,166+24+3+55+61=,932,25401,15500,147+387+196+127+75=,387+196+127+147+75=,387+127+196+147+75=,387+196+75+127+147=,387+196+147+75+127=,127+196+75+147+387=,147+196+75+387+127=,75+147+196+127+387=,75+387+127+147+196=
391+272+238+43+39=,313+114+36+20+158=,983,24742,23525,39+391+272+43+238=,39+238+391+43+272=,43+39+238+272+391=,272+391+43+39+238=,391+43+39+272+238=,39+43+238+272+391=,43+272+39+238+391=,39+272+238+43+391=,39+391+238+43+272=
39+310+102+298+77=,38+119+130+113+105=,826,23038,17786,102+298+39+310+77=,298+39+310+77+102=,310+102+298+77+39=,298+77+310+102+39=,298+310+39+102+77=,39+102+77+298+310=,298+77+102+39+310=,77+39+298+102+310=,102+77+39+298+310=
11+66+233+231+55=,10+158+35+62+62=,596,24515,13817,233+66+11+231+55=,231+66+233+11+55=,233+55+11+66+231=,233+55+231+11+66=,66+233+55+11+231=,11+55+233+231+66=,66+231+11+233+55=,66+231+11+55+233=,231+55+233+66+11=
489+137+5+142+160=,172+230+135+63+292=,933,25806,24110,137+160+5+142+489=,142+137+160+489+5=,160+142+489+137+5=,160+489+137+142+5=,5+489+160+137+142=,160+489+142+5+137=,5+137+160+142+489=,489+5+160+137+142=,137+489+160+142+5=
15+36+214+51+120=,378+166+270+78+55=,436,21299,26511,214+51+15+120+36=,214+120+36+15+51=,51+15+36+214+120=,214+36+15+120+51=,51+15+36+120+214=,36+214+120+51+15=,15+120+214+36+51=,15+51+214+120+36=,36+214+120+15+51=
191+11+51+14+192=,3+65+184+99+56=,459,22094,18501,191+51+14+11+192=,11+191+51+14+192=,11+192+191+51+14=,192+11+14+51+191=,192+11+191+51+14=,51+11+14+191+192=,191+14+11+192+51=,14+192+51+191+11=,191+51+11+192+14=
238+213+81+111+68=,3+65+184+99+56=,711,22375,18501,68+238+81+213+111=,213+238+81+68+111=,81+68+213+238+111=,238+213+111+68+81=,68+213+81+111+238=,238+81+68+111+213=,238+213+68+81+111=,111+213+68+81+238=,111+68+81+213+238=
28+577+64+51+73=,23+44+51+118+47=,793,24531,16085,64+73+577+28+51=,577+28+51+64+73=,64+51+73+28+577=,577+64+28+51+73=,64+577+51+73+28=,64+51+577+28+73=,51+64+28+577+73=,73+64+577+51+28=,51+64+577+28+73=
36+14+18+5+47=,138+138+45+270+14=,120,4364,19666,5+18+36+14+47=,47+5+14+18+36=,18+36+5+14+47=,18+14+47+5+36=,5+36+14+18+47=,18+36+5+47+14=,47+14+36+5+18=,18+14+47+36+5=,18+14+5+47+36=
15+5+85+51+30=,199+263+128+16+51=,186,9714,23480,15+30+51+85+5=,30+15+85+5+51=,5+85+30+15+51=,51+85+30+15+5=,5+51+30+85+15=,15+51+30+85+5=,15+30+85+51+5=,30+51+5+15+85=,51+5+15+85+30=
33+56+166+136+179=,59+134+111+63+53=,570,18712,12819,136+166+56+33+179=,56+136+179+166+33=,179+166+136+56+33=,166+179+136+33+56=,166+33+136+56+179=,33+136+166+179+56=,56+179+33+136+166=,33+179+136+166+56=,166+56+179+136+33=
23+41+21+3+728=,489+137+5+142+160=,816,23713,25806,3+41+21+23+728=,21+3+41+23+728=,23+3+21+41+728=,41+3+23+728+21=,23+41+3+728+21=,728+41+23+3+21=,21+728+23+3+41=,3+21+41+728+23=,23+3+21+728+41=
31+13+15+99+66=,27+82+74+10+4=,224,10697,4468,31+99+66+13+15=,13+31+99+15+66=,66+99+15+13+31=,66+99+13+31+15=,66+15+31+13+99=,13+15+31+99+66=,66+15+13+99+31=,15+13+31+66+99=,13+66+31+15+99=
109+35+19+68+93=,181+35+32+7+37=,324,16723,16443,93+68+109+35+19=,35+68+19+93+109=,19+93+35+68+109=,19+109+35+93+68=,19+68+35+109+93=,68+109+93+19+35=,93+19+68+109+35=,19+109+93+68+35=,109+68+93+19+35=
27+342+254+122+252=,16+240+10+30+32=,997,22694,16884,252+342+122+254+27=,342+252+27+122+254=,254+122+27+342+252=,254+342+27+122+252=,122+27+254+252+342=,27+342+254+252+122=,122+252+254+27+342=,342+122+27+252+254=,254+252+122+27+342=
59+134+111+63+53=,16+240+10+30+32=,420,12819,16884,63+59+134+111+53=,59+53+134+111+63=,59+63+134+53+111=,134+63+53+59+111=,134+111+53+59+63=,134+59+63+53+111=,63+53+111+134+59=,59+134+63+111+53=,63+111+59+134+53=
50+122+24+22+71=,49+186+54+16+93=,289,17212,19838,22+50+71+24+122=,50+71+122+24+22=,50+24+71+22+122=,24+71+122+22+50=,50+24+122+71+22=,24+22+71+50+122=,71+122+24+50+22=,22+24+122+71+50=,24+122+50+71+22=
105+48+150+3+47=,3+30+67+151+25=,353,17228,16660,105+3+150+47+48=,48+3+150+47+105=,105+48+3+150+47=,3+105+48+47+150=,48+150+105+47+3=,47+150+48+105+3=,47+150+3+48+105=,150+48+105+47+3=,47+150+3+105+48=
382+124+59+134+22=,235+128+202+199+49=,721,20873,24288,59+134+382+22+124=,22+124+59+134+382=,124+59+382+22+134=,59+382+22+124+134=,134+59+382+22+124=,124+22+134+382+59=,382+134+22+59+124=,382+22+124+134+59=,22+134+382+59+124=
124+155+2+10+248=,39+310+102+298+77=,539,23033,23038,155+124+248+10+2=,155+124+2+10+248=,10+124+248+155+2=,10+124+2+248+155=,2+10+155+248+124=,155+248+2+10+124=,124+10+155+248+2=,124+2+10+155+248=,124+248+155+2+10=
106+337+29+327+178=,33+159+207+240+222=,977,26409,24963,106+29+337+178+327=,337+327+29+106+178=,29+106+337+327+178=,337+106+327+178+29=,327+337+178+29+106=,337+327+29+178+106=,327+178+106+337+29=,327+337+106+178+29=,178+29+106+327+337=
74+206+14+50+210=,201+246+108+51+53=,554,22303,25090,50+74+206+14+210=,14+74+210+50+206=,206+74+50+210+14=,74+14+50+206+210=,74+14+210+206+50=,74+14+206+210+50=,74+14+210+50+206=,14+210+206+74+50=,50+210+206+14+74=
47+35+205+6+19=,63+6+2+12+26=,312,13384,7743,205+35+47+6+19=,35+205+19+6+47=,35+205+19+47+6=,35+205+47+19+6=,205+35+6+47+19=,6+205+35+19+47=,35+6+205+47+19=,19+6+205+35+47=,19+47+35+6+205=
43+70+30+31+309=,41+46+74+86+5=,483,21884,12326,309+31+70+30+43=,70+43+309+30+31=,70+31+309+30+43=,31+309+30+70+43=,70+309+31+30+43=,30+43+309+31+70=,43+30+70+309+31=,30+309+31+70+43=,309+43+70+31+30=
11+52+23+18+6=,199+263+128+16+51=,110,5120,23480,11+18+23+52+6=,23+6+11+52+18=,23+52+11+6+18=,6+18+11+23+52=,23+11+6+52+18=,6+23+52+11+18=,18+52+11+6+23=,23+6+52+18+11=,18+52+23+6+11=
