clean,corrupted,answer,correct_idx,incorrect_idx,paraphrase1,paraphrase2,paraphrase3,paraphrase4,paraphrase5,paraphrase6,paraphrase7,paraphrase8,paraphrase9
11*2*3*9=,13*2*2*16=,594,23428,23879,2*9*11*3=,2*3*9*11=,3*9*11*2=,3*9*2*11=,9*11*3*2=,3*11*9*2=,11*2*9*3=,9*3*2*11=,9*11*2*3=
3*4*4*18=,29*3*3*3=,864,19355,26008,4*4*3*18=,3*4*4*18=,4*18*3*4=,18*3*4*4=,4*4*3*18=,4*3*18*4=,4*3*18*4=,3*4*18*4=,3*18*4*4=
2*2*3*36=,2*3*8*8=,432,16739,12910,2*36*3*2=,2*2*36*3=,3*2*36*2=,36*2*2*3=,2*2*3*36=,36*3*2*2=,36*2*2*3=,36*2*3*2=,2*2*36*3=
11*3*5*6=,2*2*3*36=,990,19146,16739,11*6*3*5=,3*5*6*11=,3*11*6*5=,3*6*5*11=,6*11*5*3=,11*5*6*3=,11*3*6*5=,6*3*11*5=,3*11*5*6=
2*2*4*48=,3*3*3*16=,768,17521,16739,48*2*4*2=,4*2*2*48=,2*4*48*2=,2*2*48*4=,48*2*2*4=,2*4*48*2=,2*48*4*2=,4*2*48*2=,4*48*2*2=
3*4*4*20=,3*3*3*16=,960,16415,16739,4*4*20*3=,4*3*4*20=,4*20*3*4=,4*3*20*4=,20*4*4*3=,3*4*20*4=,3*20*4*4=,20*4*4*3=,4*20*4*3=
3*3*3*16=,2*2*4*42=,432,16739,22768,16*3*3*3=,3*3*3*16=,16*3*3*3=,3*3*3*16=,3*16*3*3=,3*3*16*3=,3*3*3*16=,3*3*16*3=,3*16*3*3=
2*2*2*66=,2*3*3*52=,528,21458,25612,2*2*66*2=,2*66*2*2=,66*2*2*2=,2*2*66*2=,66*2*2*2=,2*2*2*66=,2*2*2*66=,2*66*2*2=,66*2*2*2=
3*3*5*20=,2*5*14*4=,900,7467,17698,5*3*20*3=,3*5*20*3=,5*20*3*3=,5*20*3*3=,5*3*3*20=,3*20*5*3=,3*3*20*5=,3*20*3*5=,5*3*3*20=
2*5*5*10=,2*2*5*35=,500,2636,7007,5*10*5*2=,5*2*10*5=,2*10*5*5=,10*5*5*2=,2*5*10*5=,5*5*2*10=,10*5*5*2=,10*5*2*5=,10*2*5*5=
2*2*6*26=,13*3*5*4=,624,23000,19423,2*26*6*2=,26*2*6*2=,26*2*6*2=,2*26*2*6=,26*2*2*6=,2*26*2*6=,2*6*26*2=,6*26*2*2=,26*2*2*6=
7*2*2*26=,13*2*3*8=,728,24054,23000,7*26*2*2=,26*7*2*2=,2*2*7*26=,7*2*26*2=,2*7*2*26=,7*2*2*26=,2*7*2*26=,7*2*26*2=,26*2*7*2=
2*14*4*8=,3*3*3*16=,896,24542,16739,2*8*14*4=,8*4*2*14=,8*14*2*4=,14*2*4*8=,4*8*2*14=,2*8*4*14=,2*4*14*8=,14*4*2*8=,2*4*8*14=
2*2*5*38=,2*3*5*12=,760,19104,6843,38*2*5*2=,2*38*5*2=,2*2*38*5=,2*38*2*5=,38*2*2*5=,2*38*2*5=,5*2*38*2=,2*5*38*2=,38*5*2*2=
107*2*2*2=,13*2*5*4=,856,25505,15830,2*2*2*107=,2*2*2*107=,2*2*107*2=,2*107*2*2=,2*2*107*2=,2*107*2*2=,2*107*2*2=,2*2*107*2=,2*107*2*2=
3*3*3*15=,7*2*3*9=,405,16408,19166,3*3*15*3=,15*3*3*3=,3*3*15*3=,15*3*3*3=,3*15*3*3=,3*3*15*3=,3*3*3*15=,3*15*3*3=,3*3*3*15=
2*2*2*70=,11*2*2*20=,560,17698,19272,70*2*2*2=,2*2*70*2=,2*2*70*2=,2*2*2*70=,2*2*2*70=,2*70*2*2=,2*2*70*2=,2*70*2*2=,2*2*2*70=
17*2*2*4=,7*2*3*9=,272,15741,19166,4*2*2*17=,17*2*2*4=,2*4*17*2=,2*17*4*2=,2*2*17*4=,4*2*2*17=,2*17*4*2=,2*4*2*17=,17*2*4*2=
2*19*6*4=,2*5*12*8=,912,22750,16415,4*6*2*19=,2*19*4*6=,4*19*2*6=,6*19*4*2=,6*19*2*4=,2*4*19*6=,19*6*2*4=,4*19*6*2=,4*6*19*2=
14*4*4*4=,7*3*3*8=,896,24542,18048,4*4*4*14=,4*4*14*4=,4*14*4*4=,14*4*4*4=,4*4*14*4=,4*4*4*14=,14*4*4*4=,4*4*4*14=,4*14*4*4=
13*2*3*12=,2*2*2*85=,936,25612,17814,3*13*12*2=,12*2*3*13=,13*3*2*12=,2*12*3*13=,12*13*3*2=,3*2*13*12=,2*13*3*12=,13*3*12*2=,12*13*2*3=
2*3*20*8=,2*2*3*56=,960,16415,22768,20*8*2*3=,8*3*2*20=,20*8*3*2=,20*3*2*8=,2*20*3*8=,8*2*20*3=,8*20*2*3=,20*3*8*2=,8*2*3*20=
11*2*2*20=,7*2*2*26=,880,19272,24054,2*20*2*11=,11*20*2*2=,2*2*11*20=,2*20*2*11=,20*2*11*2=,20*11*2*2=,2*11*20*2=,11*2*2*20=,11*2*20*2=
2*2*30*8=,11*7*3*3=,960,16415,25298,30*2*8*2=,2*8*2*30=,2*30*2*8=,2*8*2*30=,8*30*2*2=,2*30*8*2=,30*2*2*8=,30*8*2*2=,30*8*2*2=
3*3*6*10=,11*2*5*6=,540,17048,19274,6*10*3*3=,10*3*6*3=,6*3*3*10=,3*10*6*3=,3*3*6*10=,3*10*6*3=,3*6*3*10=,10*3*6*3=,10*6*3*3=
13*2*5*6=,11*2*2*10=,780,19423,14868,5*13*2*6=,2*13*6*5=,13*6*2*5=,5*2*6*13=,5*6*2*13=,5*13*6*2=,2*13*5*6=,6*13*2*5=,6*5*2*13=
2*3*5*12=,2*2*4*48=,360,6843,17521,12*5*2*3=,2*3*12*5=,2*12*5*3=,5*3*12*2=,12*2*5*3=,12*5*3*2=,3*5*2*12=,3*12*5*2=,12*2*3*5=
2*5*14*4=,2*2*3*44=,560,17698,21458,14*5*2*4=,5*2*14*4=,2*4*5*14=,14*4*2*5=,4*14*2*5=,2*14*5*4=,5*4*2*14=,2*14*4*5=,4*14*5*2=
3*3*3*8=,11*2*3*9=,216,12463,23428,3*8*3*3=,8*3*3*3=,8*3*3*3=,3*3*8*3=,3*3*3*8=,8*3*3*3=,3*3*8*3=,3*3*8*3=,3*3*8*3=
2*2*5*35=,7*5*6*4=,700,7007,19899,5*35*2*2=,2*5*35*2=,35*2*5*2=,5*2*2*35=,2*35*5*2=,5*2*35*2=,5*2*35*2=,2*5*2*35=,35*2*2*5=
2*3*5*22=,13*3*5*4=,660,19274,19423,5*22*2*3=,2*22*3*5=,22*3*5*2=,5*22*3*2=,22*2*5*3=,3*5*22*2=,22*3*2*5=,5*3*2*22=,3*22*2*5=
2*2*3*10=,3*5*4*12=,120,4364,13104,3*10*2*2=,10*2*2*3=,3*2*10*2=,2*10*3*2=,10*3*2*2=,10*2*2*3=,2*3*2*10=,3*2*2*10=,10*2*3*2=
13*3*5*4=,2*3*5*6=,780,19423,5245,13*4*5*3=,4*5*13*3=,13*5*3*4=,5*3*4*13=,3*4*13*5=,4*13*5*3=,4*3*13*5=,5*4*13*3=,13*5*4*3=
2*2*2*85=,2*2*5*35=,680,17814,7007,85*2*2*2=,2*2*85*2=,85*2*2*2=,85*2*2*2=,2*85*2*2=,2*85*2*2=,2*2*85*2=,2*2*85*2=,2*85*2*2=
2*2*4*60=,2*3*5*10=,960,16415,3101,60*2*4*2=,2*4*60*2=,2*60*2*4=,2*60*4*2=,2*60*4*2=,60*4*2*2=,2*2*60*4=,4*2*60*2=,4*60*2*2=
13*2*5*4=,13*2*5*6=,520,15830,19423,13*5*2*4=,5*13*2*4=,2*13*4*5=,4*5*2*13=,2*5*13*4=,5*2*13*4=,5*2*4*13=,5*4*2*13=,2*4*13*5=
2*2*3*65=,2*2*4*16=,780,19423,4146,2*65*2*3=,2*3*2*65=,65*3*2*2=,65*2*3*2=,3*65*2*2=,65*3*2*2=,65*2*2*3=,2*65*2*3=,3*2*2*65=
2*2*61*4=,3*6*4*8=,976,25208,20758,2*4*61*2=,2*2*61*4=,4*61*2*2=,61*2*2*4=,61*2*4*2=,4*2*61*2=,61*4*2*2=,4*2*2*61=,61*2*4*2=
103*2*2*2=,3*6*9*4=,824,25016,23802,2*2*103*2=,2*103*2*2=,2*2*2*103=,2*2*2*103=,2*2*2*103=,2*2*103*2=,2*2*103*2=,2*103*2*2=,2*2*103*2=
2*6*9*4=,2*2*2*24=,432,16739,5926,9*4*6*2=,2*4*9*6=,9*6*4*2=,9*2*6*4=,6*9*4*2=,6*4*2*9=,4*9*2*6=,2*4*6*9=,4*6*9*2=
2*3*3*3*6=,2*2*2*4*30=,324,16723,16415,2*3*3*3*6=,6*3*3*2*3=,6*3*3*2*3=,3*2*3*6*3=,6*3*3*3*2=,6*3*3*3*2=,3*3*2*3*6=,3*3*2*6*3=,3*3*3*2*6=
2*3*3*3*14=,2*2*3*3*3=,756,24456,6640,3*3*3*2*14=,3*3*2*14*3=,3*2*3*14*3=,3*14*3*3*2=,3*2*14*3*3=,3*3*3*14*2=,3*14*3*3*2=,14*3*3*3*2=,3*3*14*2*3=
2*2*5*6*4=,2*2*2*2*60=,480,11738,16415,2*6*4*2*5=,2*4*5*6*2=,2*5*6*4*2=,2*4*2*6*5=,4*2*5*6*2=,5*2*2*4*6=,4*2*6*5*2=,5*2*4*2*6=,2*6*5*4*2=
2*2*2*6*15=,2*2*2*2*57=,720,13104,22750,2*6*2*15*2=,6*2*2*15*2=,15*2*2*6*2=,6*15*2*2*2=,2*6*15*2*2=,15*6*2*2*2=,6*2*2*2*15=,15*2*2*2*6=,2*2*6*2*15=
2*2*3*9*4=,2*3*3*6*6=,432,16739,23802,3*9*2*4*2=,2*2*4*3*9=,2*2*9*3*4=,3*9*2*4*2=,9*2*3*2*4=,2*3*2*4*9=,2*9*2*4*3=,3*2*9*2*4=,4*2*3*2*9=
7*2*2*2*5=,2*2*2*6*4=,280,11209,5926,7*2*2*2*5=,7*2*2*2*5=,2*2*2*5*7=,2*5*2*7*2=,7*5*2*2*2=,2*2*5*7*2=,5*2*2*2*7=,2*2*7*5*2=,2*2*5*2*7=
2*2*2*3*12=,13*2*2*3*6=,288,15287,25612,3*2*2*12*2=,12*2*2*3*2=,2*2*2*12*3=,2*2*3*12*2=,3*12*2*2*2=,2*12*2*3*2=,3*12*2*2*2=,3*2*2*2*12=,2*3*12*2*2=
17*2*2*2*2=,3*3*3*5*6=,272,15741,19232,2*17*2*2*2=,2*2*2*2*17=,2*2*2*2*17=,2*2*17*2*2=,2*2*2*2*17=,2*2*2*17*2=,17*2*2*2*2=,2*2*2*2*17=,2*2*2*2*17=
2*2*5*6*6=,2*2*2*2*43=,720,13104,23292,2*6*6*5*2=,2*6*5*2*6=,6*2*6*5*2=,6*2*2*5*6=,6*6*5*2*2=,2*6*5*2*6=,5*2*2*6*6=,5*6*2*2*6=,6*2*5*6*2=
7*3*3*3*4=,2*3*4*4*8=,756,24456,17521,3*3*3*7*4=,3*3*4*7*3=,3*4*7*3*3=,7*3*3*4*3=,3*4*7*3*3=,7*3*3*3*4=,4*3*3*3*7=,3*7*3*3*4=,7*3*4*3*3=
2*3*3*6*6=,11*2*2*2*4=,648,23802,16482,6*6*2*3*3=,3*6*3*6*2=,3*3*6*6*2=,6*3*3*2*6=,3*6*2*3*6=,2*6*3*3*6=,3*6*2*6*3=,3*3*6*2*6=,6*6*3*2*3=
2*5*6*4*4=,11*7*2*2*3=,960,16415,23890,4*2*4*6*5=,2*4*6*4*5=,6*4*5*2*4=,2*6*4*5*4=,2*4*6*4*5=,4*4*5*2*6=,6*4*2*5*4=,6*4*5*2*4=,5*4*2*4*6=
2*2*2*12*8=,11*2*2*2*4=,768,17521,16482,2*8*2*12*2=,8*12*2*2*2=,8*12*2*2*2=,2*2*12*8*2=,2*8*2*2*12=,2*2*12*8*2=,2*12*2*2*8=,8*2*2*2*12=,2*12*2*8*2=
13*2*3*3*3=,41*2*2*2*2=,702,20253,20744,3*2*3*13*3=,2*3*3*13*3=,2*3*3*3*13=,13*3*2*3*3=,3*2*3*3*13=,3*3*2*13*3=,13*3*2*3*3=,2*13*3*3*3=,3*3*2*13*3=
2*2*2*3*30=,2*2*3*6*4=,720,13104,15287,2*30*2*2*3=,3*30*2*2*2=,2*2*3*30*2=,2*3*30*2*2=,2*2*30*2*3=,2*2*3*30*2=,2*30*2*3*2=,2*3*30*2*2=,3*2*2*30*2=
2*2*14*4*4=,41*2*2*2*2=,896,24542,20744,4*2*4*14*2=,4*4*14*2*2=,4*4*2*2*14=,14*4*2*2*4=,2*4*4*14*2=,2*4*14*4*2=,14*4*4*2*2=,14*2*2*4*4=,4*2*2*14*4=
2*2*6*4*4=,2*2*3*3*10=,384,12910,6843,2*4*4*6*2=,6*4*2*4*2=,2*4*4*2*6=,4*4*2*2*6=,2*4*4*6*2=,2*6*4*2*4=,2*4*4*2*6=,6*4*2*4*2=,2*4*2*4*6=
2*2*2*4*30=,2*2*2*3*30=,960,16415,13104,4*30*2*2*2=,30*2*4*2*2=,2*30*2*4*2=,2*30*2*2*4=,2*2*30*2*4=,2*30*2*2*4=,2*2*30*4*2=,2*4*2*2*30=,30*2*2*4*2=
3*3*3*5*6=,2*2*3*4*16=,810,19232,17521,3*3*5*3*6=,3*5*3*3*6=,3*3*6*5*3=,3*3*3*6*5=,3*5*3*6*3=,3*6*3*5*3=,6*3*3*5*3=,3*3*5*6*3=,3*6*3*5*3=
2*3*4*4*8=,2*2*2*3*5=,768,17521,4364,4*4*8*2*3=,4*3*4*8*2=,3*2*8*4*4=,4*8*4*2*3=,4*8*3*2*4=,2*4*4*3*8=,3*4*8*2*4=,4*2*4*8*3=,4*2*4*3*8=
41*2*2*2*2=,3*3*3*4*8=,656,20744,19355,41*2*2*2*2=,2*41*2*2*2=,41*2*2*2*2=,2*2*2*41*2=,2*2*2*2*41=,2*2*2*41*2=,2*41*2*2*2=,2*2*2*41*2=,2*2*41*2*2=
2*2*2*2*38=,11*2*3*3*5=,608,19944,19146,38*2*2*2*2=,2*2*38*2*2=,2*2*2*38*2=,2*2*2*2*38=,2*2*2*38*2=,2*2*2*38*2=,2*38*2*2*2=,2*2*2*38*2=,2*2*2*2*38=
23*2*2*3*3=,2*3*3*3*14=,828,22716,24456,2*23*3*3*2=,3*3*2*2*23=,23*3*3*2*2=,3*2*3*2*23=,2*3*3*2*23=,3*3*2*2*23=,3*3*2*2*23=,2*2*3*23*3=,2*3*3*2*23=
2*2*6*4*8=,2*2*2*2*60=,768,17521,16415,6*8*2*2*4=,2*2*6*4*8=,8*2*4*2*6=,2*2*8*6*4=,8*2*2*6*4=,2*8*4*2*6=,2*6*8*4*2=,2*4*2*6*8=,2*8*4*2*6=
2*2*2*3*16=,2*2*3*19*4=,384,12910,22750,3*2*2*2*16=,2*2*2*3*16=,3*16*2*2*2=,2*2*16*2*3=,3*2*16*2*2=,2*2*16*2*3=,2*16*2*3*2=,16*2*3*2*2=,16*2*2*3*2=
2*2*2*3*21=,17*2*2*2*2=,504,18048,15741,21*2*2*2*3=,2*21*3*2*2=,21*2*2*3*2=,3*21*2*2*2=,2*2*3*21*2=,2*2*3*2*21=,3*21*2*2*2=,21*2*2*3*2=,3*2*21*2*2=
7*2*3*3*4=,2*3*3*3*14=,504,18048,24456,2*3*3*4*7=,3*7*4*2*3=,2*4*3*3*7=,4*2*7*3*3=,4*7*2*3*3=,3*2*7*4*3=,3*2*3*4*7=,3*3*4*7*2=,3*7*2*4*3=
2*2*10*4*4=,7*2*2*2*6=,640,14033,17014,10*2*2*4*4=,4*10*4*2*2=,4*2*4*2*10=,4*2*2*4*10=,4*4*10*2*2=,4*2*2*10*4=,10*4*4*2*2=,10*4*2*4*2=,2*10*2*4*4=
7*2*2*2*2=,17*2*2*3*4=,112,7261,23713,7*2*2*2*2=,2*2*2*7*2=,2*7*2*2*2=,2*2*2*7*2=,2*2*2*7*2=,7*2*2*2*2=,7*2*2*2*2=,2*2*2*7*2=,2*2*7*2*2=
2*2*2*2*57=,2*2*3*3*27=,912,22750,24425,57*2*2*2*2=,2*2*2*57*2=,57*2*2*2*2=,2*2*2*2*57=,2*2*2*57*2=,57*2*2*2*2=,2*57*2*2*2=,2*57*2*2*2=,2*2*2*2*57=
2*2*2*3*39=,2*2*3*3*24=,936,25612,19355,39*3*2*2*2=,3*2*2*39*2=,3*2*39*2*2=,39*3*2*2*2=,39*2*2*3*2=,39*3*2*2*2=,2*3*2*39*2=,3*39*2*2*2=,2*3*2*39*2=
2*2*2*4*18=,29*2*2*2*2=,576,20758,21033,18*4*2*2*2=,18*4*2*2*2=,2*2*4*2*18=,2*2*2*18*4=,18*2*4*2*2=,4*18*2*2*2=,4*2*18*2*2=,2*2*2*4*18=,18*2*4*2*2=
3*3*6*4*4=,13*2*2*2*4=,864,19355,17763,4*6*3*3*4=,6*4*4*3*3=,6*3*4*3*4=,3*4*6*3*4=,3*4*3*4*6=,4*3*4*3*6=,4*3*6*4*3=,4*3*3*4*6=,3*6*3*4*4=
2*2*3*3*26=,2*3*3*4*8=,936,25612,20758,2*2*3*26*3=,26*2*2*3*3=,2*2*3*3*26=,2*26*2*3*3=,26*3*3*2*2=,3*26*2*3*2=,3*3*2*2*26=,26*2*3*3*2=,2*2*3*3*26=
2*2*2*3*14=,3*3*3*5*6=,336,17014,19232,14*3*2*2*2=,3*14*2*2*2=,2*2*2*3*14=,2*3*14*2*2=,2*14*2*3*2=,2*14*2*3*2=,14*2*3*2*2=,3*2*2*14*2=,2*3*14*2*2=
2*2*2*6*14=,2*2*14*4*4=,672,22768,24542,14*6*2*2*2=,14*2*2*6*2=,2*2*2*6*14=,2*2*6*2*14=,2*6*2*14*2=,14*2*2*2*6=,2*14*2*2*6=,6*2*2*14*2=,2*2*14*6*2=
2*2*3*5*6=,2*2*2*5*5=,360,6843,1049,2*2*3*6*5=,6*3*5*2*2=,2*3*5*6*2=,6*2*5*2*3=,6*5*2*2*3=,3*2*6*5*2=,5*2*2*6*3=,3*5*2*2*6=,6*2*2*3*5=
2*3*3*4*8=,2*2*4*4*12=,576,20758,17521,3*2*4*3*8=,4*3*3*8*2=,8*4*3*2*3=,3*2*4*3*8=,2*8*4*3*3=,3*3*8*2*4=,3*4*3*8*2=,2*8*3*4*3=,2*4*8*3*3=
7*2*2*2*6=,2*2*2*3*36=,336,17014,19355,7*2*2*2*6=,2*2*2*7*6=,2*2*6*7*2=,6*7*2*2*2=,6*2*2*2*7=,7*2*6*2*2=,2*2*2*6*7=,2*7*2*2*6=,6*2*2*7*2=
7*7*2*2*4=,2*2*3*5*4=,784,22148,8273,2*2*4*7*7=,7*2*2*4*7=,2*2*4*7*7=,2*4*7*2*7=,2*7*4*2*7=,2*2*7*7*4=,2*7*4*7*2=,4*7*7*2*2=,7*7*2*2*4=
7*2*2*2*9=,29*2*2*2*2=,504,18048,21033,2*9*2*7*2=,7*9*2*2*2=,7*9*2*2*2=,7*2*2*9*2=,7*2*2*2*9=,2*7*9*2*2=,2*9*7*2*2=,2*7*9*2*2=,2*2*2*7*9=
7*2*2*5*5=,7*2*3*3*4=,700,7007,18048,5*7*2*2*5=,2*7*5*5*2=,7*2*2*5*5=,5*7*2*2*5=,2*5*2*5*7=,5*2*7*2*5=,5*5*7*2*2=,2*2*5*5*7=,2*5*5*7*2=
23*2*2*2*5=,3*3*6*4*4=,920,18485,19355,2*5*2*2*23=,2*2*23*2*5=,5*23*2*2*2=,2*23*5*2*2=,23*2*5*2*2=,5*2*2*23*2=,2*2*5*2*23=,5*2*2*23*2=,2*2*23*5*2=
2*2*6*10*4=,2*2*2*3*16=,960,16415,12910,10*4*2*2*6=,2*4*10*2*6=,6*2*10*2*4=,2*4*6*2*10=,4*2*6*2*10=,2*10*6*2*4=,2*2*10*6*4=,10*2*4*2*6=,2*10*2*4*6=
2*2*5*9*4=,2*2*2*3*21=,720,13104,18048,9*4*2*2*5=,4*5*2*2*9=,4*2*5*2*9=,2*9*4*5*2=,5*9*2*4*2=,5*2*9*4*2=,2*5*2*9*4=,5*4*2*2*9=,4*2*2*5*9=
11*11*2*2*2=,29*2*2*2*2=,968,23386,21033,11*2*2*11*2=,11*2*2*11*2=,2*11*11*2*2=,11*2*2*11*2=,11*2*11*2*2=,11*2*2*2*11=,11*11*2*2*2=,11*11*2*2*2=,11*2*2*2*11=
2*2*2*2*10=,2*2*2*2*61=,160,6330,25208,2*2*2*10*2=,2*2*2*2*10=,2*2*2*2*10=,2*2*2*2*10=,10*2*2*2*2=,2*2*2*10*2=,2*2*2*2*10=,2*10*2*2*2=,2*10*2*2*2=
2*2*3*4*20=,2*2*2*4*27=,960,16415,19355,2*4*2*3*20=,20*2*3*2*4=,2*3*20*4*2=,2*4*2*20*3=,20*2*3*2*4=,4*20*2*3*2=,4*20*2*3*2=,4*2*3*20*2=,20*2*3*4*2=
2*2*3*6*10=,2*2*2*3*14=,720,13104,17014,3*6*2*10*2=,6*3*2*10*2=,2*3*6*10*2=,3*2*10*2*6=,10*3*6*2*2=,2*10*3*6*2=,2*2*10*6*3=,2*3*10*6*2=,2*6*10*2*3=
11*2*2*2*4=,7*2*2*2*4=,352,16482,10697,11*2*2*4*2=,11*4*2*2*2=,4*2*2*2*11=,4*11*2*2*2=,4*2*2*11*2=,11*4*2*2*2=,4*11*2*2*2=,2*2*2*11*4=,2*11*2*2*4=
7*2*4*4*4=,2*2*2*3*39=,896,24542,25612,4*4*4*2*7=,4*2*4*7*4=,2*7*4*4*4=,4*2*4*7*4=,4*7*4*4*2=,2*7*4*4*4=,7*4*4*4*2=,4*7*4*2*4=,7*4*4*2*4=
2*2*2*2*14=,41*2*2*2*2=,224,10697,20744,2*2*14*2*2=,14*2*2*2*2=,2*2*2*14*2=,2*2*2*14*2=,14*2*2*2*2=,2*2*14*2*2=,2*2*14*2*2=,2*2*2*2*14=,14*2*2*2*2=
7*2*2*3*9=,3*3*6*4*4=,756,24456,19355,9*7*3*2*2=,3*7*9*2*2=,2*2*9*7*3=,9*2*7*3*2=,9*3*2*2*7=,7*9*3*2*2=,9*7*2*2*3=,3*9*2*2*7=,2*9*2*7*3=
2*2*3*6*8=,2*2*2*2*40=,576,20758,14033,2*8*3*2*6=,6*2*2*3*8=,2*6*3*2*8=,8*6*3*2*2=,2*6*3*8*2=,2*3*8*6*2=,2*2*8*6*3=,2*8*2*3*6=,2*8*2*3*6=
2*2*2*21*4=,2*2*3*5*5=,672,22768,3101,21*2*2*4*2=,21*2*4*2*2=,2*2*4*21*2=,2*4*21*2*2=,2*21*2*4*2=,2*2*4*2*21=,2*2*2*4*21=,2*2*21*4*2=,21*2*2*2*4=
11*7*2*2*3=,2*3*3*5*9=,924,23890,19232,7*2*2*11*3=,7*2*3*11*2=,11*7*2*3*2=,2*2*11*3*7=,3*11*2*7*2=,2*3*7*2*11=,7*3*2*2*11=,3*2*11*2*7=,2*3*11*2*7=
2*2*2*2*19=,17*2*2*3*4=,304,12166,23713,19*2*2*2*2=,2*2*19*2*2=,2*2*2*2*19=,2*19*2*2*2=,2*19*2*2*2=,19*2*2*2*2=,2*2*2*2*19=,2*19*2*2*2=,19*2*2*2*2=
2*2*3*3*27=,2*2*2*3*30=,972,24425,13104,3*27*3*2*2=,3*2*2*27*3=,2*3*27*2*3=,2*2*3*27*3=,3*27*3*2*2=,2*3*2*3*27=,2*2*27*3*3=,3*3*27*2*2=,3*3*2*2*27=
7*2*2*2*12=,11*2*3*3*5=,672,22768,19146,2*12*7*2*2=,7*2*12*2*2=,2*12*2*7*2=,2*7*2*12*2=,7*2*2*2*12=,2*2*2*7*12=,2*12*7*2*2=,7*12*2*2*2=,2*2*2*7*12=
2*2*2*2*40=,2*2*2*4*8=,640,14033,4146,40*2*2*2*2=,2*2*2*2*40=,2*2*40*2*2=,40*2*2*2*2=,40*2*2*2*2=,2*40*2*2*2=,40*2*2*2*2=,2*2*2*40*2=,40*2*2*2*2=
2*2*2*2*60=,2*2*3*5*6=,960,16415,6843,2*2*60*2*2=,2*2*60*2*2=,2*2*2*60*2=,2*2*60*2*2=,2*2*2*60*2=,2*2*2*2*60=,60*2*2*2*2=,2*2*2*60*2=,60*2*2*2*2=
13*2*2*3*6=,11*7*2*2*3=,936,25612,23890,2*6*3*2*13=,2*3*2*13*6=,2*2*6*3*13=,2*2*6*3*13=,6*13*3*2*2=,2*13*2*3*6=,2*2*6*13*3=,2*13*6*3*2=,13*6*2*3*2=
3*3*5*5*4=,7*3*3*3*4=,900,7467,24456,4*5*3*3*5=,3*5*3*4*5=,4*5*3*3*5=,3*3*4*5*5=,5*5*4*3*3=,5*4*5*3*3=,3*5*5*4*3=,5*4*3*5*3=,3*3*4*5*5=
2*2*3*6*4=,7*2*3*3*4=,288,15287,18048,3*6*2*4*2=,2*6*2*4*3=,2*6*3*4*2=,2*6*4*2*3=,4*2*3*6*2=,2*2*3*6*4=,6*4*2*2*3=,2*3*6*4*2=,2*4*6*3*2=
7*2*2*2*4=,7*2*2*5*5=,224,10697,7007,2*4*7*2*2=,2*4*2*2*7=,2*4*2*7*2=,2*2*4*7*2=,7*2*2*4*2=,7*2*2*2*4=,7*2*4*2*2=,4*2*2*2*7=,2*7*2*4*2=
2*2*2*4*8=,2*2*2*10*12=,256,4146,16415,2*2*2*8*4=,2*8*2*2*4=,2*2*8*2*4=,2*2*4*2*8=,2*4*2*8*2=,4*2*2*2*8=,2*2*8*4*2=,2*2*2*8*4=,2*2*4*2*8=
2*2*2*4*24=,2*3*3*4*4=,768,17521,15287,2*24*2*4*2=,2*2*2*24*4=,4*24*2*2*2=,4*2*2*2*24=,2*4*2*24*2=,24*2*4*2*2=,4*2*2*2*24=,24*4*2*2*2=,4*2*2*24*2=
2*2*2*3*9=,7*7*2*3*3=,216,12463,23213,9*3*2*2*2=,2*2*2*9*3=,9*2*2*2*3=,2*3*2*9*2=,2*2*2*3*9=,9*3*2*2*2=,2*9*2*2*3=,3*9*2*2*2=,9*2*2*3*2=
11*2*3*3*3=,11*2*2*2*5=,594,23428,14868,3*3*2*11*3=,2*11*3*3*3=,2*11*3*3*3=,3*3*11*2*3=,3*11*2*3*3=,3*2*3*11*3=,3*3*2*11*3=,3*11*3*3*2=,3*3*11*2*3=
2*2*9*4*4=,2*2*4*4*8=,576,20758,8358,4*9*2*4*2=,2*9*4*4*2=,2*2*4*4*9=,4*9*2*2*4=,2*9*2*4*4=,2*4*4*9*2=,4*2*9*2*4=,2*2*9*4*4=,2*4*9*4*2=
2*2*3*19*4=,2*2*3*3*8=,912,22750,15287,2*4*19*2*3=,19*3*2*2*4=,3*2*19*2*4=,4*2*3*2*19=,2*3*2*19*4=,19*3*2*2*4=,3*2*2*4*19=,2*2*4*3*19=,3*4*2*19*2=
2*2*3*3*3=,2*2*2*12*8=,108,6640,17521,2*3*3*2*3=,3*3*2*2*3=,2*3*2*3*3=,3*2*2*3*3=,3*3*3*2*2=,3*3*2*2*3=,2*3*3*3*2=,3*2*2*3*3=,3*2*3*2*3=
3*3*3*4*8=,2*2*3*4*16=,864,19355,17521,4*8*3*3*3=,3*4*3*8*3=,4*3*3*8*3=,4*3*8*3*3=,8*3*4*3*3=,3*3*8*4*3=,3*8*3*4*3=,3*3*3*8*4=,4*8*3*3*3=
2*2*3*3*12=,29*2*2*2*2=,432,16739,21033,3*2*2*12*3=,3*2*12*3*2=,2*3*12*3*2=,3*2*12*3*2=,2*3*12*3*2=,2*3*2*12*3=,12*2*2*3*3=,3*12*3*2*2=,3*3*12*2*2=
