,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
731,"Then, Stephanie and Jeremy were thinking about going to the school. Stephanie wanted to give a bone to","Then, Stephanie and Jeremy were thinking about going to the school. Brandon wanted to give a bone to","Then, Stephanie and Jeremy were thinking about going to the school. Jeremy wanted to give a bone to",11753,26085
878,"Then, William and Alexander went to the school. William gave a basketball to","Then, William and Alexander went to the school. Danielle gave a basketball to","Then, William and Alexander went to the school. Alexander gave a basketball to",10009,3977
490,"Then, Amber and Amanda were working at the store. Amber decided to give a drink to","Then, Amber and Amanda were working at the store. Benjamin decided to give a drink to","Then, Amber and Amanda were working at the store. Amanda decided to give a drink to",23040,21896
398,"Then, Travis and Lindsay were working at the station. Lindsay decided to give a ring to","Then, Travis and Lindsay were working at the station. Amy decided to give a ring to","Then, Travis and Lindsay were working at the station. Travis decided to give a ring to",19804,33127
560,"When Scott and Katie got a snack at the school, Scott decided to give it to","When Scott and Katie got a snack at the school, Jonathan decided to give it to","When Scott and Katie got a snack at the school, Katie decided to give it to",24721,4746
314,"Then, Laura and Jeremy were working at the store. Jeremy decided to give a kiss to","Then, Laura and Jeremy were working at the store. Andrew decided to give a kiss to","Then, Laura and Jeremy were working at the store. Laura decided to give a kiss to",16753,11753
837,"Then, Jose and Bryan were working at the station. Bryan decided to give a kiss to","Then, Jose and Bryan were working at the station. Vanessa decided to give a kiss to","Then, Jose and Bryan were working at the station. Jose decided to give a kiss to",5264,17857
408,"Then, Katie and Jacob went to the office. Katie gave a bone to","Then, Katie and Jacob went to the office. Danielle gave a bone to","Then, Katie and Jacob went to the office. Jacob gave a bone to",12806,24721
419,"When Cody and Daniel got a snack at the garden, Cody decided to give it to","When Cody and Daniel got a snack at the garden, Alicia decided to give it to","When Cody and Daniel got a snack at the garden, Daniel decided to give it to",7806,27035
355,"When Amy and Elizabeth got a necklace at the hospital, Amy decided to give it to","When Amy and Elizabeth got a necklace at the hospital, Cody decided to give it to","When Amy and Elizabeth got a necklace at the hospital, Elizabeth decided to give it to",10674,14235
677,"When Brian and Michelle got a ring at the station, Michelle decided to give it to","When Brian and Michelle got a ring at the station, Sean decided to give it to","When Brian and Michelle got a ring at the station, Brian decided to give it to",8403,16738
27,"Then, Allison and Paul went to the garden. Paul gave a necklace to","Then, Allison and Paul went to the garden. Kyle gave a necklace to","Then, Allison and Paul went to the garden. Allison gave a necklace to",33461,3362
811,"Then, Charles and Nathan were working at the hospital. Nathan decided to give a kiss to","Then, Charles and Nathan were working at the hospital. Joshua decided to give a kiss to","Then, Charles and Nathan were working at the hospital. Charles decided to give a kiss to",7516,18106
335,"Then, Lauren and Rebecca had a lot of fun at the hospital. Rebecca gave a ring to","Then, Lauren and Rebecca had a lot of fun at the hospital. Joseph gave a ring to","Then, Lauren and Rebecca had a lot of fun at the hospital. Lauren gave a ring to",25672,23489
679,"Then, Katie and David went to the garden. David gave a necklace to","Then, Katie and David went to the garden. Nicole gave a necklace to","Then, Katie and David went to the garden. Katie gave a necklace to",24721,3271
709,"Then, Nathan and Scott went to the restaurant. Scott gave a computer to","Then, Nathan and Scott went to the restaurant. Richard gave a computer to","Then, Nathan and Scott went to the restaurant. Nathan gave a computer to",18106,4746
610,"When Jonathan and Erin got a computer at the station, Erin decided to give it to","When Jonathan and Erin got a computer at the station, Heather decided to give it to","When Jonathan and Erin got a computer at the station, Jonathan decided to give it to",11232,28894
107,"Then, Cody and Brandon were thinking about going to the garden. Brandon wanted to give a drink to","Then, Cody and Brandon were thinking about going to the garden. Michelle wanted to give a drink to","Then, Cody and Brandon were thinking about going to the garden. Cody wanted to give a drink to",27035,14328
465,"Then, Brittany and William went to the school. Brittany gave a necklace to","Then, Brittany and William went to the school. Danielle gave a necklace to","Then, Brittany and William went to the school. William gave a necklace to",3977,48773
410,"Then, Andrea and Shannon went to the hospital. Shannon gave a ring to","Then, Andrea and Shannon went to the hospital. Vanessa gave a ring to","Then, Andrea and Shannon went to the hospital. Andrea gave a ring to",23174,28108
928,"Then, Mary and Nicole were thinking about going to the garden. Nicole wanted to give a drink to","Then, Mary and Nicole were thinking about going to the garden. Alicia wanted to give a drink to","Then, Mary and Nicole were thinking about going to the garden. Mary wanted to give a drink to",5335,25176
877,"After Emily and Jose went to the hospital, Emily gave a snack to","After Emily and Jose went to the hospital, Erica gave a snack to","After Emily and Jose went to the hospital, Jose gave a snack to",5264,17608
69,"When Jacob and Courtney got a snack at the hospital, Courtney decided to give it to","When Jacob and Courtney got a snack at the hospital, Nicholas decided to give it to","When Jacob and Courtney got a snack at the hospital, Jacob decided to give it to",12806,36677
879,"Then, Megan and Gregory were working at the store. Megan decided to give a necklace to","Then, Megan and Gregory were working at the store. Justin decided to give a necklace to","Then, Megan and Gregory were working at the store. Gregory decided to give a necklace to",20653,27616
970,"Then, Bradley and Tyler had a lot of fun at the restaurant. Tyler gave a necklace to","Then, Bradley and Tyler had a lot of fun at the restaurant. Kevin gave a necklace to","Then, Bradley and Tyler had a lot of fun at the restaurant. Bradley gave a necklace to",16182,14886
582,"Then, Jamie and Kristen were thinking about going to the station. Kristen wanted to give a kiss to","Then, Jamie and Kristen were thinking about going to the station. Angela wanted to give a kiss to","Then, Jamie and Kristen were thinking about going to the station. Jamie wanted to give a kiss to",17826,44467
567,"Then, Eric and Amber were thinking about going to the school. Eric wanted to give a snack to","Then, Eric and Amber were thinking about going to the school. Christina wanted to give a snack to","Then, Eric and Amber were thinking about going to the school. Amber wanted to give a snack to",21896,7651
949,"After Kyle and Jeremy went to the restaurant, Jeremy gave a ring to","After Kyle and Jeremy went to the restaurant, Kimberly gave a ring to","After Kyle and Jeremy went to the restaurant, Kyle gave a ring to",14316,11753
432,"After Jessica and Courtney went to the office, Courtney gave a computer to","After Jessica and Courtney went to the office, Tiffany gave a computer to","After Jessica and Courtney went to the office, Jessica gave a computer to",17352,36677
484,"Then, Allison and Bradley were working at the school. Allison decided to give a basketball to","Then, Allison and Bradley were working at the school. Daniel decided to give a basketball to","Then, Allison and Bradley were working at the school. Bradley decided to give a basketball to",16182,33461
351,"When Brian and Lisa got a bone at the garden, Lisa decided to give it to","When Brian and Lisa got a bone at the garden, Erin decided to give it to","When Brian and Lisa got a bone at the garden, Brian decided to give it to",8403,15378
48,"Then, Erica and Lindsay had a long argument, and afterwards Lindsay said to","Then, Erica and Lindsay had a long argument, and afterwards Michelle said to","Then, Erica and Lindsay had a long argument, and afterwards Erica said to",45187,33127
153,"When Aaron and Shannon got a kiss at the house, Shannon decided to give it to","When Aaron and Shannon got a kiss at the house, Allison decided to give it to","When Aaron and Shannon got a kiss at the house, Aaron decided to give it to",12139,28108
734,"Then, Lindsey and Gregory went to the store. Lindsey gave a ring to","Then, Lindsey and Gregory went to the store. Dustin gave a ring to","Then, Lindsey and Gregory went to the store. Gregory gave a ring to",20653,30334
172,"Then, Bryan and Samantha were working at the garden. Bryan decided to give a kiss to","Then, Bryan and Samantha were working at the garden. Allison decided to give a kiss to","Then, Bryan and Samantha were working at the garden. Samantha decided to give a kiss to",34778,17857
327,"After Emily and Cody went to the school, Cody gave a ring to","After Emily and Cody went to the school, Adam gave a ring to","After Emily and Cody went to the school, Emily gave a ring to",17608,27035
302,"Then, Alicia and Elizabeth went to the garden. Alicia gave a ring to","Then, Alicia and Elizabeth went to the garden. Adam gave a ring to","Then, Alicia and Elizabeth went to the garden. Elizabeth gave a ring to",10674,39607
754,"Then, Danielle and Christopher had a lot of fun at the store. Christopher gave a basketball to","Then, Danielle and Christopher had a lot of fun at the store. Crystal gave a basketball to","Then, Danielle and Christopher had a lot of fun at the store. Danielle gave a basketball to",39808,12803
807,"Then, Amy and Jennifer went to the office. Amy gave a snack to","Then, Amy and Jennifer went to the office. Patrick gave a snack to","Then, Amy and Jennifer went to the office. Jennifer gave a snack to",16348,14235
667,"Then, Sean and Emily had a lot of fun at the office. Sean gave a basketball to","Then, Sean and Emily had a lot of fun at the office. Sara gave a basketball to","Then, Sean and Emily had a lot of fun at the office. Emily gave a basketball to",17608,11465
576,"After John and Bryan went to the school, Bryan gave a necklace to","After John and Bryan went to the school, Paul gave a necklace to","After John and Bryan went to the school, John gave a necklace to",1757,17857
545,"Then, Lindsey and Aaron went to the hospital. Lindsey gave a necklace to","Then, Lindsey and Aaron went to the hospital. Brandon gave a necklace to","Then, Lindsey and Aaron went to the hospital. Aaron gave a necklace to",12139,30334
718,"Then, Christine and Katie were thinking about going to the hospital. Christine wanted to give a computer to","Then, Christine and Katie were thinking about going to the hospital. Kyle wanted to give a computer to","Then, Christine and Katie were thinking about going to the hospital. Katie wanted to give a computer to",24721,26088
179,"Then, Jennifer and James had a lot of fun at the hospital. James gave a necklace to","Then, Jennifer and James had a lot of fun at the hospital. William gave a necklace to","Then, Jennifer and James had a lot of fun at the hospital. Jennifer gave a necklace to",16348,3700
523,"Then, Jeffrey and Patrick had a lot of fun at the store. Patrick gave a necklace to","Then, Jeffrey and Patrick had a lot of fun at the store. Timothy gave a necklace to","Then, Jeffrey and Patrick had a lot of fun at the store. Jeffrey gave a necklace to",19627,9925
383,"Then, Katie and Travis had a long argument, and afterwards Travis said to","Then, Katie and Travis had a long argument, and afterwards Jacob said to","Then, Katie and Travis had a long argument, and afterwards Katie said to",24721,19804
237,"After Joshua and Elizabeth went to the garden, Elizabeth gave a drink to","After Joshua and Elizabeth went to the garden, Melissa gave a drink to","After Joshua and Elizabeth went to the garden, Joshua gave a drink to",20700,10674
616,"After Ashley and Crystal went to the garden, Ashley gave a ring to","After Ashley and Crystal went to the garden, Brittany gave a ring to","After Ashley and Crystal went to the garden, Crystal gave a ring to",12969,20899
815,"Then, Tyler and Michelle had a long argument, and afterwards Tyler said to","Then, Tyler and Michelle had a long argument, and afterwards Mark said to","Then, Tyler and Michelle had a long argument, and afterwards Michelle said to",16738,14886
648,"When Andrea and Aaron got a basketball at the house, Aaron decided to give it to","When Andrea and Aaron got a basketball at the house, Kimberly decided to give it to","When Andrea and Aaron got a basketball at the house, Andrea decided to give it to",23174,12139
124,"When Jesse and Stephanie got a snack at the school, Stephanie decided to give it to","When Jesse and Stephanie got a snack at the school, Patrick decided to give it to","When Jesse and Stephanie got a snack at the school, Jesse decided to give it to",18033,26085
10,"Then, Bradley and Erica were working at the office. Bradley decided to give a bone to","Then, Bradley and Erica were working at the office. Alicia decided to give a bone to","Then, Bradley and Erica were working at the office. Erica decided to give a bone to",45187,16182
149,"Then, Jonathan and Charles went to the hospital. Charles gave a computer to","Then, Jonathan and Charles went to the hospital. Kristen gave a computer to","Then, Jonathan and Charles went to the hospital. Jonathan gave a computer to",11232,7516
594,"Then, Brandon and Jeremy were working at the school. Brandon decided to give a snack to","Then, Brandon and Jeremy were working at the school. Gregory decided to give a snack to","Then, Brandon and Jeremy were working at the school. Jeremy decided to give a snack to",11753,14328
6,"Then, Anthony and Christina were thinking about going to the store. Christina wanted to give a necklace to","Then, Anthony and Christina were thinking about going to the store. Jeremy wanted to give a necklace to","Then, Anthony and Christina were thinking about going to the store. Anthony wanted to give a necklace to",9953,33673
665,"Then, Matthew and Christina had a long argument, and afterwards Christina said to","Then, Matthew and Christina had a long argument, and afterwards Steven said to","Then, Matthew and Christina had a long argument, and afterwards Matthew said to",9308,33673
7,"Then, Cody and Courtney had a long argument, and afterwards Cody said to","Then, Cody and Courtney had a long argument, and afterwards Anthony said to","Then, Cody and Courtney had a long argument, and afterwards Courtney said to",36677,27035
8,"After Joshua and Samuel went to the office, Samuel gave a bone to","After Joshua and Samuel went to the office, Jeffrey gave a bone to","After Joshua and Samuel went to the office, Joshua gave a bone to",20700,17100
549,"Then, Lindsey and David went to the house. David gave a snack to","Then, Lindsey and David went to the house. Sara gave a snack to","Then, Lindsey and David went to the house. Lindsey gave a snack to",30334,3271
716,"After Justin and Sara went to the hospital, Sara gave a basketball to","After Justin and Sara went to the hospital, Michael gave a basketball to","After Justin and Sara went to the hospital, Justin gave a basketball to",10799,24799
578,"Then, Nicole and Kyle were thinking about going to the hospital. Nicole wanted to give a ring to","Then, Nicole and Kyle were thinking about going to the hospital. Tiffany wanted to give a ring to","Then, Nicole and Kyle were thinking about going to the hospital. Kyle wanted to give a ring to",14316,25176
732,"Then, Amy and Jessica went to the house. Jessica gave a snack to","Then, Amy and Jessica went to the house. Matthew gave a snack to","Then, Amy and Jessica went to the house. Amy gave a snack to",14235,17352
64,"Then, Thomas and Charles went to the station. Thomas gave a drink to","Then, Thomas and Charles went to the station. Jonathan gave a drink to","Then, Thomas and Charles went to the station. Charles gave a drink to",7516,5658
453,"Then, Kristen and Michelle had a long argument, and afterwards Kristen said to","Then, Kristen and Michelle had a long argument, and afterwards Courtney said to","Then, Kristen and Michelle had a long argument, and afterwards Michelle said to",16738,44467
983,"Then, Joseph and Brittany had a long argument, and afterwards Brittany said to","Then, Joseph and Brittany had a long argument, and afterwards Megan said to","Then, Joseph and Brittany had a long argument, and afterwards Joseph said to",7212,48773
971,"Then, Samuel and Kyle had a lot of fun at the hospital. Kyle gave a snack to","Then, Samuel and Kyle had a lot of fun at the hospital. John gave a snack to","Then, Samuel and Kyle had a lot of fun at the hospital. Samuel gave a snack to",17100,14316
573,"When Jamie and Thomas got a necklace at the office, Thomas decided to give it to","When Jamie and Thomas got a necklace at the office, Eric decided to give it to","When Jamie and Thomas got a necklace at the office, Jamie decided to give it to",17826,5658
761,"Then, Kenneth and Katherine had a lot of fun at the office. Katherine gave a ring to","Then, Kenneth and Katherine had a lot of fun at the office. Mary gave a ring to","Then, Kenneth and Katherine had a lot of fun at the office. Kenneth gave a ring to",23632,32719
479,"Then, Paul and Angela were thinking about going to the station. Paul wanted to give a drink to","Then, Paul and Angela were thinking about going to the station. James wanted to give a drink to","Then, Paul and Angela were thinking about going to the station. Angela wanted to give a drink to",17799,3362
424,"Then, Nathan and Angela had a long argument, and afterwards Angela said to","Then, Nathan and Angela had a long argument, and afterwards Matthew said to","Then, Nathan and Angela had a long argument, and afterwards Nathan said to",18106,17799
39,"Then, Christopher and Lisa had a long argument, and afterwards Christopher said to","Then, Christopher and Lisa had a long argument, and afterwards Jeremy said to","Then, Christopher and Lisa had a long argument, and afterwards Lisa said to",15378,12803
366,"After Vanessa and Emily went to the garden, Emily gave a bone to","After Vanessa and Emily went to the garden, Melissa gave a bone to","After Vanessa and Emily went to the garden, Vanessa gave a bone to",42100,17608
664,"Then, Adam and Katherine had a lot of fun at the house. Katherine gave a kiss to","Then, Adam and Katherine had a lot of fun at the house. Christine gave a kiss to","Then, Adam and Katherine had a lot of fun at the house. Adam gave a kiss to",7244,32719
493,"Then, Mark and Lindsey were thinking about going to the hospital. Lindsey wanted to give a ring to","Then, Mark and Lindsey were thinking about going to the hospital. Katherine wanted to give a ring to","Then, Mark and Lindsey were thinking about going to the hospital. Mark wanted to give a ring to",2940,30334
810,"Then, Sarah and Charles were thinking about going to the school. Charles wanted to give a bone to","Then, Sarah and Charles were thinking about going to the school. Jason wanted to give a bone to","Then, Sarah and Charles were thinking about going to the school. Sarah wanted to give a bone to",10490,7516
411,"Then, Steven and Lauren had a long argument, and afterwards Lauren said to","Then, Steven and Lauren had a long argument, and afterwards William said to","Then, Steven and Lauren had a long argument, and afterwards Steven said to",8239,25672
602,"Then, James and Steven had a long argument, and afterwards Steven said to","Then, James and Steven had a long argument, and afterwards Tyler said to","Then, James and Steven had a long argument, and afterwards James said to",3700,8239
863,"Then, Nicholas and Jeffrey had a long argument, and afterwards Nicholas said to","Then, Nicholas and Jeffrey had a long argument, and afterwards Courtney said to","Then, Nicholas and Jeffrey had a long argument, and afterwards Jeffrey said to",19627,20320
528,"Then, Samuel and Jonathan went to the garden. Jonathan gave a bone to","Then, Samuel and Jonathan went to the garden. Bryan gave a bone to","Then, Samuel and Jonathan went to the garden. Samuel gave a bone to",17100,11232
404,"After Kyle and Justin went to the school, Kyle gave a computer to","After Kyle and Justin went to the school, Steven gave a computer to","After Kyle and Justin went to the school, Justin gave a computer to",10799,14316
503,"Then, Timothy and Richard had a long argument, and afterwards Timothy said to","Then, Timothy and Richard had a long argument, and afterwards Bryan said to","Then, Timothy and Richard had a long argument, and afterwards Richard said to",6219,22283
285,"Then, Jonathan and Ashley had a lot of fun at the school. Jonathan gave a kiss to","Then, Jonathan and Ashley had a lot of fun at the school. Thomas gave a kiss to","Then, Jonathan and Ashley had a lot of fun at the school. Ashley gave a kiss to",20899,11232
684,"Then, Paul and Charles were working at the school. Charles decided to give a basketball to","Then, Paul and Charles were working at the school. Allison decided to give a basketball to","Then, Paul and Charles were working at the school. Paul decided to give a basketball to",3362,7516
699,"Then, Travis and Joseph were working at the restaurant. Travis decided to give a kiss to","Then, Travis and Joseph were working at the restaurant. Sean decided to give a kiss to","Then, Travis and Joseph were working at the restaurant. Joseph decided to give a kiss to",7212,19804
356,"When Elizabeth and Amber got a kiss at the garden, Amber decided to give it to","When Elizabeth and Amber got a kiss at the garden, Heather decided to give it to","When Elizabeth and Amber got a kiss at the garden, Elizabeth decided to give it to",10674,21896
770,"After Lisa and Jeremy went to the hospital, Lisa gave a ring to","After Lisa and Jeremy went to the hospital, Michelle gave a ring to","After Lisa and Jeremy went to the hospital, Jeremy gave a ring to",11753,15378
894,"Then, Mark and Jeffrey went to the store. Jeffrey gave a computer to","Then, Mark and Jeffrey went to the store. Erica gave a computer to","Then, Mark and Jeffrey went to the store. Mark gave a computer to",2940,19627
288,"When Jose and William got a computer at the school, Jose decided to give it to","When Jose and William got a computer at the school, Emily decided to give it to","When Jose and William got a computer at the school, William decided to give it to",3977,5264
480,"After Amanda and Daniel went to the store, Daniel gave a drink to","After Amanda and Daniel went to the store, Shannon gave a drink to","After Amanda and Daniel went to the store, Amanda gave a drink to",23040,7806
924,"When Brittany and Amy got a ring at the restaurant, Brittany decided to give it to","When Brittany and Amy got a ring at the restaurant, Mark decided to give it to","When Brittany and Amy got a ring at the restaurant, Amy decided to give it to",14235,48773
686,"After Allison and Crystal went to the garden, Crystal gave a basketball to","After Allison and Crystal went to the garden, Tiffany gave a basketball to","After Allison and Crystal went to the garden, Allison gave a basketball to",33461,12969
649,"After Lisa and Kyle went to the restaurant, Lisa gave a snack to","After Lisa and Kyle went to the restaurant, John gave a snack to","After Lisa and Kyle went to the restaurant, Kyle gave a snack to",14316,15378
655,"After Amy and James went to the station, Amy gave a computer to","After Amy and James went to the station, Jeffrey gave a computer to","After Amy and James went to the station, James gave a computer to",3700,14235
94,"Then, Nathan and Kimberly had a lot of fun at the store. Kimberly gave a kiss to","Then, Nathan and Kimberly had a lot of fun at the store. Elizabeth gave a kiss to","Then, Nathan and Kimberly had a lot of fun at the store. Nathan gave a kiss to",18106,48685
794,"Then, Alicia and Bryan had a long argument, and afterwards Alicia said to","Then, Alicia and Bryan had a long argument, and afterwards Jeremy said to","Then, Alicia and Bryan had a long argument, and afterwards Bryan said to",17857,39607
233,"Then, Michael and Justin were thinking about going to the hospital. Michael wanted to give a computer to","Then, Michael and Justin were thinking about going to the hospital. Alexander wanted to give a computer to","Then, Michael and Justin were thinking about going to the hospital. Justin wanted to give a computer to",10799,3899
175,"After Paul and Timothy went to the house, Paul gave a necklace to","After Paul and Timothy went to the house, Kristen gave a necklace to","After Paul and Timothy went to the house, Timothy gave a necklace to",22283,3362
93,"Then, Timothy and Jennifer were working at the store. Timothy decided to give a basketball to","Then, Timothy and Jennifer were working at the store. Robert decided to give a basketball to","Then, Timothy and Jennifer were working at the store. Jennifer decided to give a basketball to",16348,22283
760,"Then, Brittany and Lindsay had a long argument, and afterwards Brittany said to","Then, Brittany and Lindsay had a long argument, and afterwards Adam said to","Then, Brittany and Lindsay had a long argument, and afterwards Lindsay said to",33127,48773
798,"After Kelly and Jacob went to the hospital, Jacob gave a basketball to","After Kelly and Jacob went to the hospital, Kenneth gave a basketball to","After Kelly and Jacob went to the hospital, Kelly gave a basketball to",9077,12806
160,"Then, Travis and Megan were thinking about going to the hospital. Megan wanted to give a drink to","Then, Travis and Megan were thinking about going to the hospital. John wanted to give a drink to","Then, Travis and Megan were thinking about going to the hospital. Travis wanted to give a drink to",19804,27616
791,"When Emily and Christine got a ring at the hospital, Emily decided to give it to","When Emily and Christine got a ring at the hospital, Eric decided to give it to","When Emily and Christine got a ring at the hospital, Christine decided to give it to",26088,17608
974,"After Jennifer and Bryan went to the house, Jennifer gave a basketball to","After Jennifer and Bryan went to the house, Patrick gave a basketball to","After Jennifer and Bryan went to the house, Bryan gave a basketball to",17857,16348
375,"Then, Stephanie and Daniel were thinking about going to the school. Daniel wanted to give a drink to","Then, Stephanie and Daniel were thinking about going to the school. Samuel wanted to give a drink to","Then, Stephanie and Daniel were thinking about going to the school. Stephanie wanted to give a drink to",26085,7806
229,"Then, Melissa and Lisa went to the school. Melissa gave a bone to","Then, Melissa and Lisa went to the school. Joseph gave a bone to","Then, Melissa and Lisa went to the school. Lisa gave a bone to",15378,24164
377,"Then, Aaron and Nicole were working at the school. Aaron decided to give a snack to","Then, Aaron and Nicole were working at the school. Lisa decided to give a snack to","Then, Aaron and Nicole were working at the school. Nicole decided to give a snack to",25176,12139
270,"Then, Jeremy and Katherine went to the station. Katherine gave a bone to","Then, Jeremy and Katherine went to the station. Andrew gave a bone to","Then, Jeremy and Katherine went to the station. Jeremy gave a bone to",11753,32719
914,"Then, Samuel and Daniel were working at the house. Samuel decided to give a necklace to","Then, Samuel and Daniel were working at the house. Adam decided to give a necklace to","Then, Samuel and Daniel were working at the house. Daniel decided to give a necklace to",7806,17100
996,"After Jeffrey and Rebecca went to the house, Jeffrey gave a bone to","After Jeffrey and Rebecca went to the house, Patrick gave a bone to","After Jeffrey and Rebecca went to the house, Rebecca gave a bone to",23489,19627
917,"Then, Sarah and Ashley had a long argument, and afterwards Ashley said to","Then, Sarah and Ashley had a long argument, and afterwards Andrea said to","Then, Sarah and Ashley had a long argument, and afterwards Sarah said to",10490,20899
999,"Then, Eric and Nicholas had a lot of fun at the station. Eric gave a kiss to","Then, Eric and Nicholas had a lot of fun at the station. Jennifer gave a kiss to","Then, Eric and Nicholas had a lot of fun at the station. Nicholas gave a kiss to",20320,7651
36,"Then, Lisa and Joshua were thinking about going to the store. Lisa wanted to give a basketball to","Then, Lisa and Joshua were thinking about going to the store. William wanted to give a basketball to","Then, Lisa and Joshua were thinking about going to the store. Joshua wanted to give a basketball to",20700,15378
799,"Then, Emily and Lindsay went to the house. Emily gave a bone to","Then, Emily and Lindsay went to the house. Amy gave a bone to","Then, Emily and Lindsay went to the house. Lindsay gave a bone to",33127,17608
784,"Then, Nathan and Michelle were working at the station. Michelle decided to give a necklace to","Then, Nathan and Michelle were working at the station. Laura decided to give a necklace to","Then, Nathan and Michelle were working at the station. Nathan decided to give a necklace to",18106,16738
637,"Then, Daniel and Shannon went to the office. Daniel gave a ring to","Then, Daniel and Shannon went to the office. Bryan gave a ring to","Then, Daniel and Shannon went to the office. Shannon gave a ring to",28108,7806
676,"Then, Tyler and Amanda were working at the office. Amanda decided to give a snack to","Then, Tyler and Amanda were working at the office. Patrick decided to give a snack to","Then, Tyler and Amanda were working at the office. Tyler decided to give a snack to",14886,23040
486,"Then, Jamie and Kenneth were working at the office. Kenneth decided to give a ring to","Then, Jamie and Kenneth were working at the office. Timothy decided to give a ring to","Then, Jamie and Kenneth were working at the office. Jamie decided to give a ring to",17826,23632
584,"Then, Crystal and Charles were thinking about going to the store. Crystal wanted to give a snack to","Then, Crystal and Charles were thinking about going to the store. Mary wanted to give a snack to","Then, Crystal and Charles were thinking about going to the store. Charles wanted to give a snack to",7516,12969
183,"Then, Christine and David had a lot of fun at the office. Christine gave a necklace to","Then, Christine and David had a lot of fun at the office. Matthew gave a necklace to","Then, Christine and David had a lot of fun at the office. David gave a necklace to",3271,26088
344,"After Lindsay and Patrick went to the hospital, Patrick gave a snack to","After Lindsay and Patrick went to the hospital, Eric gave a snack to","After Lindsay and Patrick went to the hospital, Lindsay gave a snack to",33127,9925
714,"Then, Rachel and John were thinking about going to the station. John wanted to give a basketball to","Then, Rachel and John were thinking about going to the station. Kevin wanted to give a basketball to","Then, Rachel and John were thinking about going to the station. Rachel wanted to give a basketball to",15984,1757
701,"After Melissa and Kyle went to the house, Kyle gave a necklace to","After Melissa and Kyle went to the house, Rachel gave a necklace to","After Melissa and Kyle went to the house, Melissa gave a necklace to",24164,14316
883,"Then, Richard and Christina had a long argument, and afterwards Richard said to","Then, Richard and Christina had a long argument, and afterwards Lindsay said to","Then, Richard and Christina had a long argument, and afterwards Christina said to",33673,6219
133,"Then, Megan and Stephen had a long argument, and afterwards Stephen said to","Then, Megan and Stephen had a long argument, and afterwards Ashley said to","Then, Megan and Stephen had a long argument, and afterwards Megan said to",27616,7970
923,"Then, Kristen and Alicia were thinking about going to the garden. Alicia wanted to give a bone to","Then, Kristen and Alicia were thinking about going to the garden. Matthew wanted to give a bone to","Then, Kristen and Alicia were thinking about going to the garden. Kristen wanted to give a bone to",44467,39607
975,"Then, Mary and Jennifer had a long argument, and afterwards Jennifer said to","Then, Mary and Jennifer had a long argument, and afterwards Emily said to","Then, Mary and Jennifer had a long argument, and afterwards Mary said to",5335,16348
60,"Then, John and Anthony were thinking about going to the school. Anthony wanted to give a necklace to","Then, John and Anthony were thinking about going to the school. Paul wanted to give a necklace to","Then, John and Anthony were thinking about going to the school. John wanted to give a necklace to",1757,9953
199,"Then, Aaron and Alexander were working at the garden. Alexander decided to give a basketball to","Then, Aaron and Alexander were working at the garden. James decided to give a basketball to","Then, Aaron and Alexander were working at the garden. Aaron decided to give a basketball to",12139,10009
33,"Then, Jason and David had a long argument, and afterwards Jason said to","Then, Jason and David had a long argument, and afterwards Jonathan said to","Then, Jason and David had a long argument, and afterwards David said to",3271,8982
224,"Then, Lauren and Jesse went to the office. Jesse gave a bone to","Then, Lauren and Jesse went to the office. Amanda gave a bone to","Then, Lauren and Jesse went to the office. Lauren gave a bone to",25672,18033
932,"When Adam and Joseph got a drink at the hospital, Joseph decided to give it to","When Adam and Joseph got a drink at the hospital, Dustin decided to give it to","When Adam and Joseph got a drink at the hospital, Adam decided to give it to",7244,7212
692,"Then, Rachel and Christina were thinking about going to the school. Rachel wanted to give a bone to","Then, Rachel and Christina were thinking about going to the school. Megan wanted to give a bone to","Then, Rachel and Christina were thinking about going to the school. Christina wanted to give a bone to",33673,15984
215,"Then, Brandon and Kyle had a lot of fun at the hospital. Brandon gave a drink to","Then, Brandon and Kyle had a lot of fun at the hospital. Nathan gave a drink to","Then, Brandon and Kyle had a lot of fun at the hospital. Kyle gave a drink to",14316,14328
52,"Then, Sarah and Courtney went to the station. Sarah gave a computer to","Then, Sarah and Courtney went to the station. Lindsay gave a computer to","Then, Sarah and Courtney went to the station. Courtney gave a computer to",36677,10490
539,"Then, Shannon and Rebecca had a lot of fun at the house. Rebecca gave a kiss to","Then, Shannon and Rebecca had a lot of fun at the house. Crystal gave a kiss to","Then, Shannon and Rebecca had a lot of fun at the house. Shannon gave a kiss to",28108,23489
706,"Then, Matthew and Danielle were working at the office. Matthew decided to give a basketball to","Then, Matthew and Danielle were working at the office. Lauren decided to give a basketball to","Then, Matthew and Danielle were working at the office. Danielle decided to give a basketball to",39808,9308
660,"Then, Kimberly and Jose went to the garden. Kimberly gave a ring to","Then, Kimberly and Jose went to the garden. Sarah gave a ring to","Then, Kimberly and Jose went to the garden. Jose gave a ring to",5264,48685
717,"When Sean and Samantha got a basketball at the house, Sean decided to give it to","When Sean and Samantha got a basketball at the house, Christina decided to give it to","When Sean and Samantha got a basketball at the house, Samantha decided to give it to",34778,11465
